CLUESmallArea,BlockId,Usage,SumFloors2002,BuildingCount2002,SumFloors2021,BuildingCount2021,MostFloors2002,MostFloors2021
East Melbourne,646,House/Townhouse,10.0,5,6.0,3,3,3
East Melbourne,646,Educational/Research,7.0,3,8.0,2,3,5
East Melbourne,646,Unoccupied - Unused,2.0,1,10.0,4,2,3
East Melbourne,646,Hospital/Clinic,19.0,7,19.0,7,7,7
East Melbourne,646,Storage,0.0,0,4.0,2,0,2
East Melbourne,646,Office,31.0,12,16.0,7,5,3
East Melbourne,646,Commercial Accommodation,2.0,1,2.0,1,2,2
East Melbourne,646,Parking - Commercial Covered,6.0,1,6.0,1,6,6
East Melbourne,646,"Performances, Conferences, Ceremonies",1.0,1,0.0,0,1,0
East Melbourne,646,Retail - Shop,0.0,0,2.0,1,0,2
East Melbourne,646,Student Accommodation,0.0,0,3.0,1,0,3
East Melbourne,646,Workshop/Studio,0.0,0,0.0,0,0,0
East Melbourne,646,Residential Apartment,2.0,1,0.0,0,2,0
East Melbourne,646,Entertainment/Recreation - Indoor,0,0,0,0
East Melbourne,604,House/Townhouse,63.0,37,73.0,40,2,4
East Melbourne,604,Residential Apartment,6.0,3,12.0,5,2,3
East Melbourne,604,Unoccupied - Unused,0.0,0,2.0,1,0,2
East Melbourne,604,Unoccupied - Under Renovation,2.0,1,0.0,0,2,0
East Melbourne,604,Unoccupied - Under Construction,0.0,0,0.0,0,0,0
East Melbourne,604,Retail - Shop,1.0,1,0.0,0,1,0
East Melbourne,604,Storage,1.0,1,0.0,0,1,0
East Melbourne,604,Equipment Installation,0.0,0,0.0,0,0,0
East Melbourne,604,Office,0,0,0,0
East Melbourne,604,Entertainment/Recreation - Indoor,0,0,0,0
East Melbourne,604,Parking - Commercial Covered,0,0,0,0
East Melbourne,610,House/Townhouse,79.0,49,90.0,53,3,2
East Melbourne,610,Commercial Accommodation,3.0,1,3.0,1,3,3
East Melbourne,610,Residential Apartment,16.0,7,13.0,5,3,3
East Melbourne,610,Hospital/Clinic,1.0,1,0.0,0,1,0
East Melbourne,610,Office,0,0,0,0
East Melbourne,610,Entertainment/Recreation - Indoor,0,0,0,0
East Melbourne,610,Unoccupied - Unused,0,0,0,0
East Melbourne,610,Parking - Commercial Covered,0,0,0,0
East Melbourne,655,House/Townhouse,0.0,0,45.0,15,0,3
East Melbourne,655,Residential Apartment,17.0,5,40.0,7,4,19
East Melbourne,655,Commercial Accommodation,6.0,1,9.0,1,6,9
East Melbourne,655,Unoccupied - Under Construction,0.0,0,0.0,0,0,0
East Melbourne,655,Office,0,0,0,0
East Melbourne,655,Entertainment/Recreation - Indoor,0,0,0,0
East Melbourne,655,Unoccupied - Unused,0,0,0,0
East Melbourne,655,Parking - Commercial Covered,0,0,0,0
East Melbourne,614,"Performances, Conferences, Ceremonies",1.0,1,0.0,0,1,0
East Melbourne,614,House/Townhouse,6.0,4,8.0,4,2,2
East Melbourne,614,Residential Apartment,6.0,2,6.0,2,3,3
East Melbourne,614,Commercial Accommodation,6.0,2,6.0,2,3,3
East Melbourne,614,Office,3.0,1,0.0,0,3,0
East Melbourne,614,Hospital/Clinic,5.0,1,9.0,1,5,9
East Melbourne,614,Parking - Commercial Covered,3.0,1,3.0,1,3,3
East Melbourne,614,Unoccupied - Unused,0.0,0,1.0,1,0,1
East Melbourne,614,Unoccupied - Under Demolition/Condemned,0.0,0,0.0,0,0,0
East Melbourne,614,Entertainment/Recreation - Indoor,0,0,0,0
East Melbourne,607,Residential Apartment,8.0,3,15.0,5,3,5
East Melbourne,607,House/Townhouse,22.0,13,28.0,14,2,2
East Melbourne,607,Office,27.0,6,26.0,5,7,8
East Melbourne,607,Entertainment/Recreation - Indoor,3.0,2,8.0,4,2,2
East Melbourne,607,Retail - Shop,4.0,2,4.0,2,2,2
East Melbourne,607,Hospital/Clinic,7.0,4,6.0,3,2,2
East Melbourne,607,Commercial Accommodation,6.0,2,3.0,1,3,3
East Melbourne,607,Unoccupied - Unused,4.0,2,1.0,1,2,1
East Melbourne,607,Unoccupied - Under Renovation,2.0,1,0.0,0,2,0
East Melbourne,607,Unoccupied - Under Construction,0.0,0,0.0,0,0,0
East Melbourne,607,Storage,2.0,1,0.0,0,2,0
East Melbourne,607,Parking - Commercial Covered,0,0,0,0
East Melbourne,606,Residential Apartment,27.0,10,26.0,9,3,3
East Melbourne,606,House/Townhouse,16.0,11,23.0,14,2,2
East Melbourne,606,Commercial Accommodation,11.0,5,5.0,2,3,3
East Melbourne,606,Unoccupied - Unused,0.0,0,6.0,3,0,2
East Melbourne,606,Office,6.0,2,2.0,1,4,2
East Melbourne,606,Hospital/Clinic,5.0,3,6.0,2,2,4
East Melbourne,606,Entertainment/Recreation - Indoor,0.0,0,2.0,1,0,2
East Melbourne,606,Parking - Private Covered,2.0,1,0.0,0,2,0
East Melbourne,606,Unoccupied - Under Renovation,0.0,0,0.0,0,0,0
East Melbourne,606,Storage,2.0,1,0.0,0,2,0
